emergency vehicle selection,Tipo_Incidencia,Tipo_Lugar
5168339,3,100
5123699,3,139
4786314,2,
5132770,1,148
5075270,3,139
4857127,7,148
4850944,3,226
5171714,3,136
4898911,3,139
5444024,3,139
4824685,3,325
4911371,3,139
5100273,3,114
4737382,3,148
4908117,3,139
5433890,3,205
5452163,1,
5000138,3,107
5323978,6,100
4780117,3,202
5450300,3,136
4976048,9,139
5165968,3,143
4913781,3,147
5431680,8,286
5196783,3,148
4923690,3,139
5449167,3,137
4875638,3,
4935273,3,139
4968646,3,148
4893259,3,139
4788349,3,136
5169885,2,
5308519,3,148
5131457,1,
4794576,3,139
5383304,9,136
5359835,3,136
5032623,1,
5319480,3,130
4775649,3,198
5160350,3,139
4719791,1,
5194931,3,133
5427675,3,139
5084709,3,104
4933888,3,196
5039731,3,139
4904394,3,140
4952158,3,136
4900690,6,100
4798227,3,228
5461760,3,139
4798276,3,148
4719763,7,108
4952085,3,139
5195124,3,139
5158464,3,139
4766711,3,148
5018407,3,148
4915361,6,
5370478,3,136
4904416,3,158
5286199,3,136
4773995,3,136
4791931,3,136
4811631,6,242
5445453,1,100
5272136,3,139
4837936,3,139
5156567,3,139
4841320,3,216
5290983,1,112
4828890,3,136
5191783,1,
5166784,3,139
5145441,3,155
4800587,3,139
5425441,3,139
4958886,3,140
4812095,4,136
5123498,3,115
4770027,3,136
5422644,1,
4903654,3,136
5303052,3,139
5289308,3,148
4822535,3,136
5438564,3,136
5325711,3,139
5419128,3,139
4927402,3,136
5415605,3,139
5319652,3,149
4929984,2,149
5291483,9,139
5452402,3,274
5028673,3,148
4861766,3,136
4890135,3,139
4959860,6,
5120652,3,136
4847283,3,139
5063301,3,
4944151,2,
4945911,3,139
5094652,3,136
5139384,3,323
4762818,1,131
4794714,3,139
5439005,3,139
4921509,3,148
5197425,1,148
4867109,3,196
5050646,3,139
4788257,1,104
4735359,3,139
4867616,3,139
4757710,3,136
4949596,3,148
5085120,3,148
5090405,3,139
5094238,3,148
5460661,3,139
5295500,3,148
5001446,3,136
4812334,3,139
5196606,3,139
4729282,3,139
5453571,3,136
4822959,9,136
4932635,3,139
4806590,3,228
5333715,3,148
5340502,6,131
4815426,3,139
5404382,3,139
5419515,3,137
5075091,3,202
5435312,3,105
4820854,3,136
4978347,3,139
4940396,3,148
4793825,3,148
5349485,1,167
4716326,3,136
5406824,3,136
5112090,3,148
5025207,3,148
5205204,3,136
4889647,3,219
5398927,3,148
5167075,1,
5434210,6,100
5095577,3,136
4723049,3,136
5138125,1,135
5127984,3,259
5398628,3,139
4867526,3,148
5291831,3,157
5035904,3,167
5063323,3,139
5041221,3,136
5361310,3,148
5285733,6,148
4848689,3,139
4956913,3,136
5061037,3,167
5030552,2,148
4795850,3,148
5127986,3,136
4848468,9,136
4802023,3,107
5326777,1,149
4742227,3,149
5167346,3,226
4749038,3,148
4874247,3,139
5023530,3,136
5021931,3,325
4887028,3,136
4737053,1,136
4942837,2,149
5130722,5,130
4746445,3,139
5406078,3,136
5295722,2,148
5080762,3,136
4956192,3,148
5442292,3,140
4882277,3,136
4767294,3,136
5446066,3,136
5366375,1,
4727444,3,136
5459053,3,136
5198352,1,131
5133034,3,136
5131844,3,107
5024262,3,139
5100307,1,103
5439459,3,148
5126649,3,148
5156736,3,139
5041410,3,139
4878368,3,205
4805685,3,136
5067528,3,136
4936700,3,148
5438642,3,216
5342717,3,139
4965750,3,202
5148539,1,
5322287,3,107
5058357,3,100
5332412,3,149
5346651,3,107
5329777,3,139
4732432,3,148
4798752,3,139
4809556,3,148
5163316,3,136
5027472,3,202
5435215,9,136
5357899,3,139
4898894,3,323
5205536,3,140
4992402,3,149
5155783,3,148
4829051,3,139
5041834,3,139
5074934,3,199
4795301,3,139
4971975,3,118
5292127,4,128
5038829,3,139
5052055,3,149
4856939,3,147
5385124,3,139
5412430,3,139
4784939,3,139
5186739,3,148
5349892,3,105
4869173,3,107
5096621,3,148
5378622,3,139
4893210,1,241
5091167,3,196
4953814,3,201
4900248,3,139
5020585,3,136
4768808,3,196
5428368,1,257
4731324,1,137
5047037,3,136
5186863,1,108
5155814,3,274
4991778,3,139
4802841,3,139
5145563,3,149
4999777,3,148
5439327,3,136
5388016,3,139
4781747,3,241
5128747,3,221
4751528,1,
4820597,1,
5201772,3,147
4741404,3,136
5132463,3,227
5159647,3,219
5374528,6,139
4730496,3,139
4941310,3,136
4982295,1,149
4845207,3,232
4961834,3,
4796551,3,136
4882192,3,140
4878766,1,107
5353362,3,139
4945584,3,148
4878778,3,148
4882739,3,139
4948839,4,137
4724444,4,105
5341058,3,140
5075973,3,211
5316163,8,
5409773,3,130
5040482,1,146
4952479,9,139
4847470,3,216
5203453,3,136
5422005,3,107
5068311,1,139
5303430,3,148
4769850,3,136
4919654,3,241
5354060,3,136
5393143,2,149
5160942,3,136
4949771,3,139
5173381,1,147
4904075,3,104
4739585,3,259
4870953,3,241
5131903,3,136
5011014,3,196
5105718,3,140
4800506,3,136
5030883,3,137
4836197,3,107
5320797,3,136
5142913,3,136
4727794,3,136
5441619,3,139
4758655,3,136
5413616,3,136
4928234,3,115
4970877,1,139
5312261,3,136
4923764,3,118
5022790,3,148
4837125,3,136
5389744,3,139
4950495,1,
5113285,1,100
5410110,3,196
5104052,3,148
4929237,3,148
5088100,3,
5281868,3,148
5443514,3,316
5305272,3,139
5453695,3,134
4924261,3,139
5188043,1,131
4903407,3,148
5280430,3,148
4768352,3,137
5138419,3,325
4864740,3,139
5325108,3,148
4919563,3,100
4765383,3,136
5050147,2,149
4969443,3,139
5131190,3,148
4870706,3,139
5009651,3,139
4849091,3,136
5273149,8,
5324870,3,139
4943510,3,139
5036213,3,136
4852891,2,
5113268,3,228
5101842,3,148
4999337,3,241
4759200,1,128
5375408,3,107
5169469,3,148
5174791,1,
5033392,3,136
4874419,1,131
4761242,3,224
5342793,3,136
5278669,2,148
4843154,3,136
4752415,3,139
4799257,3,149
4951561,3,137
5418400,9,139
5170581,3,241
4998763,1,164
5023983,3,139
5079340,3,139
4714467,3,148
5126613,3,228
4920384,3,136
4762748,3,148
4880452,3,136
4933189,1,131
5345296,1,
4735003,1,257
5126425,3,148
4767073,6,149
5434586,3,139
5097874,3,148
5388202,3,148
5145741,3,148
4976534,3,148
5063530,3,139
5432951,3,136
5384566,3,136
5027062,3,136
5123625,3,136
5069888,9,
5404310,9,136
5349216,3,139
5342113,3,139
5125688,3,136
4977840,3,139
4749425,3,139
5041003,3,210
4946614,3,136
4887615,3,136
4858349,3,149
4908408,3,139
5296254,3,
5333961,1,120
5295827,3,148
4790871,3,139
4944562,3,136
5386817,3,229
5321734,3,139
4787349,3,135
4740000,3,149
4885840,3,191
4812747,3,136
5134044,3,140
4938842,3,241
4750785,7,
5438974,3,136
5141566,3,148
5334534,3,201
5043199,3,259
4904282,3,130
4974267,1,257
4869664,3,148
5045634,3,139
4780737,3,136
5180999,3,136
5459429,3,136
4792087,3,139
4905401,3,136
4837481,3,136
5086901,3,140
5273749,6,100
4878209,3,139
4822922,3,139
4746829,3,148
4821057,3,136
4902338,3,228
5287075,3,226
4951284,3,139
5009006,3,149
5207647,3,136
4831895,3,237
4879293,3,148
5275855,3,323
4929791,3,139
5333877,3,139
4776104,3,138
5296472,3,148
5270506,3,139
5107554,3,136
4899198,3,136
5340913,3,136
4783865,3,140
4917085,1,131
5392267,3,259
4752217,3,244
5139849,3,
4982095,3,148
5003680,3,139
4867688,1,100
4823377,3,140
5386615,3,232
5172090,3,136
4835301,3,140
4947096,2,149
4867731,3,148
4973512,3,136
4854301,3,136
5129235,2,149
4723956,3,139
5356714,3,139
4852752,2,149
5129269,1,256
4853124,3,148
4853003,3,139
4907357,1,107
5144620,3,136
5410451,3,148
4890715,1,
5437299,3,259
4904786,2,149
4928357,3,148
5311031,1,
4812137,3,148
4790650,6,100
4733965,3,136
4754620,3,204
4839770,3,136
4774517,3,259
5001295,3,148
4773492,3,259
5379606,3,136
5144926,3,136
4871300,3,140
4969365,3,136
4849745,3,325
5374515,3,136
5042402,3,148
5394168,3,148
4915142,3,226
5124419,3,232
5196105,9,136
5114885,3,104
4903849,3,137
5129841,3,233
5452806,3,136
4995928,6,147
5444007,1,108
4723824,3,270
5336422,3,229
4837181,3,139
4973361,3,135
5443758,3,149
5098887,3,139
5051645,3,139
5415028,3,139
4934421,3,139
4782503,3,136
5458447,3,136
4866871,3,136
4883062,3,139
4798304,3,149
4892112,3,139
5141976,3,220
5384061,3,136
5173207,1,
4798506,3,228
4809281,3,136
5346869,3,216
4966461,3,258
4943162,3,139
5409543,3,323
4963079,3,137
4902101,3,136
5155723,3,241
5205393,3,263
5064114,3,139
4877272,3,136
4878201,3,136
4997784,3,111
4889724,3,219
4795378,3,139
5271858,3,148
5138943,3,136
4731168,1,139
4850182,3,148
5275893,3,148
5163274,1,127
5091052,3,148
4901442,3,137
5040014,3,148
4923578,3,148
4754667,3,136
4757032,3,136
5126444,3,165
4852408,3,325
4900263,2,148
4874218,3,136
5405005,3,140
5272022,1,148
5056036,3,148
4782788,3,137
4909741,3,136
4921240,1,
5018024,3,136
4976516,3,139
4807279,3,148
4819945,9,105
4942266,3,226
5401116,1,149
4821399,3,136
4933571,1,
4793195,3,136
4840834,3,148
5426622,2,149
5033680,3,136
5124944,3,143
5375755,3,139
5442050,3,139
5028884,1,139
4767638,3,136
5309734,3,136
4815388,3,136
5156501,3,139
5198191,3,136
4721705,3,149
4768682,3,136
5332435,3,140
5110319,2,148
4980011,3,148
5045597,3,147
5142742,1,
4981479,1,114
5342248,2,148
4715876,3,210
4808968,3,104
4774916,3,104
4834157,9,139
4715690,1,131
5274537,3,149
5186556,3,139
5040786,3,139
5187036,3,136
4760698,3,205
5444269,3,136
4780193,3,136
5034761,3,
4868658,3,136
4736626,3,139
5097717,3,237
5102035,3,136
4809920,3,148
5314999,3,139
5000644,3,257
5197331,3,139
4845717,9,100
5064195,3,148
5446622,3,139
5164184,2,148
4779654,3,148
5326737,3,148
4773287,3,148
5159605,1,
4971632,3,136
4858954,6,107
5423614,3,148
5050871,3,325
4961388,3,148
4714947,3,107
4947801,3,136
4943542,3,143
4784555,3,196
4723016,3,139
4901887,3,139
5273066,3,139
4820139,3,148
4755135,3,136
5313584,3,140
5376799,3,139
4995793,3,148
4979084,3,139
4764246,3,140
4963222,3,139
5042088,3,148
5199256,3,136
5193335,3,140
5027390,3,136
5274454,3,139
5453303,3,136
4914059,3,139
4864411,3,148
4822921,3,136
5178993,3,139
5360011,3,139
4837590,7,
5094995,3,136
4780151,3,136
4785532,3,148
5461871,1,325
5302453,3,148
5054530,1,146
5060476,3,148
5452062,3,228
5408032,3,139
5187667,3,186
5337954,3,228
5448347,3,139
5202279,3,148
5284180,3,148
4807051,3,149
4850602,6,286
4724108,6,
4729160,3,219
4839921,3,
5192864,1,
5081772,3,139
4960680,3,139
4990182,1,
4968545,3,
4751708,3,136
4934151,3,139
4765752,3,139
4877953,3,228
5293310,2,148
5206231,3,186
5423837,3,274
5010036,3,210
5147625,3,136
5139417,3,148
5099063,1,148
4918130,1,146
5016207,3,136
4879995,3,107
4727666,3,136
5378138,3,191
5385795,3,274
4904990,1,
5416223,3,212
5387577,3,139
4831943,3,139
5114580,3,100
5371977,3,104
4901796,3,107
5411464,3,202
5305700,3,136
5067226,3,136
5072453,9,139
4848028,3,139
5074701,3,107
4866908,3,136
5149165,1,
5432619,3,
5283588,1,
4764635,1,149
4954957,3,131
4942431,3,139
5441223,3,139
4939426,9,139
5286611,3,148
4838692,9,139
5417179,3,136
5354237,3,
5394213,3,139
5148276,5,148
4891492,3,107
5379873,1,233
5332124,3,139
5396980,3,196
4753780,3,136
5357184,6,
5385461,3,148
4895532,3,139
5040164,3,136
5043137,3,139
5189977,9,143
5103036,3,148
5074013,1,
4949430,3,210
5279063,3,148
4887472,1,111
4943638,3,139
5180459,3,139
4734150,3,139
5183405,3,148
5330758,6,137
5127081,1,148
5141748,6,148
4971829,3,136
5200719,3,139
4868327,3,139
4902474,3,148
5321674,1,
5013767,1,
4911874,3,139
5009603,2,149
4817932,3,139
5185115,1,
4815733,3,136
4772544,3,139
5318310,3,136
4874849,1,148
4862044,3,139
4907589,3,148
5004771,3,136
5335842,3,136
4928830,3,136
5304976,3,
4886745,3,139
4801701,3,136
5186938,9,149
5395499,2,149
5272481,3,139
5417144,3,148
4873710,3,139
4940557,9,139
5163352,3,136
5128944,3,148
5455236,3,139
5454598,3,148
5295108,1,137
4918365,3,148
4737332,3,148
5417758,1,149
4805153,3,107
5205099,3,148
5149720,7,
4928257,3,139
5308136,3,259
5409692,3,139
5095285,6,296
5099162,3,139
5154200,3,139
5197594,3,325
5149920,3,139
5067717,3,139
5453174,3,136
4912237,3,136
4912960,3,114
5140370,3,136
5357673,3,136
5144470,3,136
4947268,3,136
5427768,3,274
5045667,3,139
5013505,3,149
5087461,3,258
5197902,3,139
4722001,3,139
5391130,3,107
5370050,3,148
4961794,3,139
4890992,3,139
4926582,1,139
5005040,3,139
4956204,3,107
4716357,3,140
4845000,3,136
5003654,3,140
5099081,3,139
5271721,3,139
5346779,3,148
4740820,3,149
5007618,3,139
4734102,1,136
5459114,3,139
5395746,3,139
5022953,3,139
5074085,3,136
5298202,3,136
5060378,3,136
4906052,3,136
4897813,3,139
5132250,3,149
4762667,3,237
5075764,1,119
5301287,3,259
5128823,3,148
4934243,3,140
4861003,3,199
5427069,3,148
4874226,3,148
5061238,3,139
5290664,3,204
5278163,3,136
4935737,3,136
5345145,1,141
4930097,6,323
5321708,3,139
4999549,2,149
5426708,3,219
5068206,3,149
4768590,3,136
4757704,3,136
5440593,3,139
5389730,3,139
4902441,3,179
4776610,3,148
4804320,3,139
4788032,3,136
4818857,3,264
5441618,1,140
5036749,3,140
5418907,3,136
4938922,3,206
4869548,1,125
4868613,3,139
5113338,3,139
5070223,3,136
4959762,3,148
4839118,3,139
4952851,3,136
4982638,3,107
4836904,3,137
4730119,3,137
5341594,3,133
5273335,2,149
4809888,3,139
4995353,3,136
4966208,3,136
5078469,3,136
5051453,1,
5406970,3,259
5087922,1,131
5092034,1,140
4897041,3,136
